DATE,TIME,EVENT,ADDRESS,LOCATION,Latitude,Longitude
11/14/2022,7:43:39 PM,FIRE ALARM ,240 DE NEVE DR,HEDRICK SUMMIT,34.073962,-118.4525197
11/14/2022,12:29:25 PM,FIRE ALARM ,757 WESTWOOD PZ,RONALD REAGAN UCLA MEDICAL CENTER,34.0664764,-118.4465738
11/13/2022,2:57:27 AM,FIRE ALARM ,1010 VETERAN AVE,WEST MEDICAL BUILDING,34.0605404,-118.4478731
11/12/2022,5:53:23 PM,FIRE ALARM ,475 PORTOLA PZ,KNUDSEN HALL,34.070540,-118.441190
11/11/2022,10:44:16 PM,FIRE ALARM ,430 PORTOLA PZ,PHYSICS AND ASTRONOMY BUILDING,34.070710,-118.441700
11/11/2022,4:10:01 PM,FIRE ALARM ,10740 DICKSON PZ,POWELL LIBRARY,34.0722226,-118.4420203
11/11/2022,12:13:31 PM,FIRE ALARM ,200 MEDICAL PZ,MEDICAL PLAZA 200 PETER MORTON BUILDING,34.0648474,-118.4471591
11/10/2022,8:25:36 PM,FIRE ALARM ,308 WESTWOOD PZ,ACKERMAN UNION,34.070418,-118.4441451
11/10/2022,5:48:18 PM,FIRE ALARM ,200 MEDICAL PZ,MEDICAL PLAZA 200 PETER MORTON BUILDING,34.0648474,-118.4471591
11/10/2022,1:18:56 PM,FIRE ALARM ,10833 LE CONTE AVE,CENTER FOR HEALTH SCIENCES,34.0642829,-118.4423562
11/9/2022,4:57:44 AM,FIRE ALARM ,640 CHARLES E YOUNG DR S,SCHOOL OF PUBLIC HEALTH,34.066629,-118.4435716
11/9/2022,3:32:29 AM,FIRE ALARM ,714 TIVERTON AVE,SCHOOL OF DENTISTRY,34.0660174,-118.4418704
11/8/2022,1:55:15 PM,FIRE ALARM ,850 WESTWOOD PZ,DORIS STEIN RESEARCH CENTER,34.0649793,-118.4452612
11/8/2022,7:03:26 AM,FIRE ALARM ,765 WEYBURN TER,MAGNOLIA COURT,34.0637379,-118.450633
11/8/2022,12:56:27 AM,FIRE ALARM ,824 HILGARD AVE,HILGARD APARTMENTS,34.0658062,-118.4396071
11/7/2022,4:16:23 PM,FIRE ALARM ,3100 SAWTELLE BLVD,SAWTELLE APARTMENTS,34.0254804,-118.4302294
11/7/2022,3:35:49 PM,FIRE ALARM ,765 WEYBURN TER,MAGNOLIA COURT,34.0637379,-118.450633
11/7/2022,10:47:52 AM,FIRE ALARM ,725 WEYBURN TER,CYPRESS COURT,34.063434,-118.4518596
11/7/2022,10:35:09 AM,FIRE ALARM ,550 CHARLES E YOUNG DR W,EH AND S SERVICES BUILDING,34.0683327,-118.4481163
11/7/2022,5:11:20 AM,FIRE ALARM ,570 WESTWOOD PZ,CALIFORNIA NANOSYSTEMS INSTITUTE,34.0678484,-118.4437715
11/6/2022,9:20:32 AM,FIRE ALARM ,417 CHARLES E YOUNG DR W,BRADLEY INTERNATIONAL HALL,34.0696351,-118.4491115
11/4/2022,4:07:02 PM,FIRE ALARM ,390 PORTOLA PZ,DODD HALL,34.072860,-118.439260
